  COMPLAINT OTHER                         ,x
  DISCHARGING FIREARMS                    ,x
  DISTURBANCE (OTHER)                     ,s
  FIREWORKS                               ,x
  FUGITIVE ATTTACHMENT                    ,x
  MUNICIPAL ATTTACHME                     ,x
  SIMPLE CRIMINAL DAMA                    ,s
  SUSPICIOUS PERSON                       ,c
  TRAFFIC INCIDENT                        ,x
 AGGRAVATED ASSAULT                      ,s
 AGGRAVATED ASSAULT D                    ,s
 AGGRAVATED BATTERY                      ,s
 AGGRAVATED BATTERY B                    ,s
 AGGRAVATED BATTERY D                    ,s
 AGGRAVATED BURGLARY                     ,s
 AGGRAVATED CRIMINAL                     ,s
 AGGRAVATED RAPE                         ,s
 AGGRAVATED RAPE - MA                    ,s
 AGGRIVATED ARRSON                       ,s
 AMBULANCE REQUEST                       ,x
 ARMED ROBBERY                           ,s
 ARMED ROBBERY WITH G                    ,s
 ARMED ROBBERY WITH K                    ,s
 ATTACHMENT                              ,x
 AUTO ACCIDENT                           ,c
 AUTO ACCIDENT FATALI                    ,s
 AUTO ACCIDENT WITH I                    ,s
 AUTO THEFT                              ,s
 BICYCLE THEFT                           ,s
" BURGLAR ALARM, LOCAL                    ",s
" BURGLAR ALARM, SILEN                    ",s
 BUSINESS BURGLARY                       ,s
 CAR JACKING                             ,s
 CARNAL KNOWLEDGE OF                     ,s
 CONTRIBUTING TO DELI                    ,s
 CRIME AGAINST NATURE                    ,s
 CRIMINAL MISCHIEF                       ,s
 CRUELTY TO ANNIMALS                     ,s
 DAILY WALKING BEAT L                    ,x
 DEATH                                   ,s
 DEATH-UNCLASSIFIED                      ,s
 DIRECTED TRAFFIC ENF                    ,ss
 DOMESTIC CRIMINAL DA                    ,s
 DOMESTIC DISTURBANCE                    ,s
 DRIVING WHILE UNDER                     ,s
 DRUG VIOLATIONS                         ,s
 DRUNK                                   ,x
 EXTORTION (THREATS)                     ,s
 FIGHT                                   ,s
 FIRE                                    ,s
 FORGERY                                 ,s
 GAMBLING WITH DICE                      ,s
 HIT & RUN                               ,s
 HIT & RUN POLICE VEH                    ,s
 HIT & RUN WITH INJU                     ,s
 HOLD UP ALARM                           ,s
 HOMELESS                                ,x
 HOMICIDE                                ,s
 HOMICIDE BY SHOOTING                    ,s
